Data Series,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
    HDB 3-Room Flats,"36,514","39,078","40,218","41,872","42,834","44,590","45,676","46,593","47,669","49,855","50,920","51,468","51,171","48,990","47,973","47,849","49,323","51,323","54,005","57,030","59,407","62,269"
    HDB 4-Room Flats,"107,687","112,125","112,502","112,727","111,688","110,901","109,281","108,319","107,336","107,657","106,669","107,242","106,321","102,665","100,597","100,376","102,257","104,973","109,160","113,456","114,367","114,584"
    HDB 5-Room And Executive Flats,"70,623","73,552","74,298","76,285","77,561","80,109","81,997","84,436","87,728","92,365","94,723","97,585","98,379","96,082","93,958","92,624","92,478","92,891","93,599","94,074","92,804","90,443"
  Condominiums & Other Apartments,"54,568","54,289","53,325","51,866","47,625","44,437","41,713","39,609","39,364","39,944","39,674","39,458","37,660","36,543","37,304","35,766","33,361","31,323","30,125","30,000","28,061","25,009"
  Landed Properties,"11,243","11,918","11,981","12,295","12,470","13,106","13,403","13,986","14,268","14,962","15,056","15,482","15,223","14,807","14,331","13,909","14,026","14,577","15,407","16,944","17,835","18,592"
  Other Types Of Dwelling,"1,534","1,532","1,582","1,703","1,907","2,101","2,219","2,415","2,607","2,690","2,720","2,753","2,817","2,649","2,443","2,304","2,184","2,201","2,346","2,634","2,885","3,061"
40-44 Years,"292,770","299,291","300,763","303,640","311,484","313,445","316,755","316,023","312,581","308,823","306,614","309,441","312,983","317,363","321,049","323,017","321,472","321,057","318,282","320,863","317,996","312,420"
  Total HDB Dwellings,"215,081","221,288","223,336","227,509","236,674","242,006","247,442","249,370","248,245","246,762","246,738","250,582","255,239","259,563","261,968","264,759","264,773","265,861","264,585","267,001","265,468","262,232"
    HDB 1- And 2-Room Flats,"8,542","8,475","8,323","7,850","7,844","8,279","8,438","8,318","8,122","7,590","7,236","6,954","6,728","6,610","6,448","6,326","6,362","6,608","6,855","7,405","7,970","8,622"
    HDB 3-Room Flats,"38,822","40,405","41,371","42,940","45,184","46,488","47,569","47,908","47,742","48,223","49,021","50,297","51,803","52,714","53,663","54,342","54,786","55,860","56,680","58,610","60,548","63,318"
    HDB 4-Room Flats,"96,547","98,401","97,774","98,125","100,152","100,561","101,498","101,422","100,529","99,634","99,434","101,610","104,022","106,448","107,952","109,619","109,333","109,633","108,565","109,074","107,726","105,606"
    HDB 5-Room And Executive Flats,"71,170","74,007","75,868","78,594","83,494","86,492","89,739","91,491","91,484","90,894","90,595","91,152","92,119","93,190","93,130","93,578","93,322","92,704","91,240","90,337","87,120","82,302"
  Condominiums & Other Apartments,"62,891","62,176","61,030","59,246","57,014","52,909","49,869","46,676","44,415","42,476","40,626","39,444","38,159","37,555","38,405","37,069","34,886","32,698","30,680","29,653","27,377","24,430"
  Landed Properties,"13,247","14,163","14,609","14,932","15,728","16,318","17,030","17,517","17,395","17,095","16,777","16,862","16,924","17,503","18,051","18,616","19,290","19,968","20,468","21,550","22,366","22,748"
  Other Types Of Dwelling,"1,551","1,664","1,788","1,953","2,068","2,212","2,414","2,460","2,526","2,490","2,473","2,553","2,661","2,742","2,625","2,573","2,523","2,530","2,549","2,659","2,785","3,010"
45-49 Years,"300,125","311,740","311,682","307,838","303,457","301,183","303,413","308,533","316,336","320,925","323,991","323,459","322,497","318,078","315,552","312,858","307,546","300,671","292,791","286,738","274,569","262,201"
  Total HDB Dwellings,"217,875","228,505","230,541","230,679","231,443","234,198","240,023","246,846","254,959","260,192","263,727","263,601","263,613","260,599","258,362","256,658","252,963","247,936","242,015","236,958","227,712","217,917"
    HDB 1- And 2-Room Flats,"10,423","10,476","10,231","10,041","10,005","10,276","10,755","10,806","10,613","9,898","9,342","8,770","8,412","8,298","8,326","8,406","8,371","8,183","8,016","8,057","8,062","8,407"
    HDB 3-Room Flats,"41,425","43,905","44,340","44,529","44,807","45,752","47,143","49,275","51,467","53,410","54,918","54,994","55,077","54,432","54,350","54,422","54,741","54,538","55,271","55,978","56,583","57,809"
    HDB 4-Room Flats,"89,599","92,941","93,144","93,033","93,156","94,082","96,829","99,893","103,575","106,167","107,861","107,922","108,130","106,825","105,809","105,277","103,639","102,008","99,599","97,381","91,903","86,382"
    HDB 5-Room And Executive Flats,"76,428","81,183","82,826","83,076","83,475","83,922","85,118","86,635","88,847","90,127","90,941","91,110","91,112","90,108","88,720","87,375","84,980","81,976","77,816","74,012","69,098","63,144"
  Condominiums & Other Apartments,"63,774","63,531","61,194","57,420","52,171","47,109","43,368","40,863","39,668","38,484","37,578","36,385","34,868","33,289","32,934","31,633","29,676","27,579","25,580","24,090","21,446","19,091"
  Landed Properties,"16,639","17,808","18,071","17,831","17,793","17,663","17,786","18,434","19,013","19,460","19,973","20,672","21,152","21,433","21,797","22,206","22,503","22,755","22,673","23,081","22,764","22,423"
  Other Types Of Dwelling,"1,837","1,896","1,876","1,908","2,050","2,213","2,236","2,390","2,696","2,789","2,713","2,801","2,864","2,757","2,459","2,361","2,404","2,401","2,523","2,609","2,647","2,770"
50-54 Years,"285,962","296,068","301,682","308,965","312,814","315,598","315,091","315,503","312,988","310,376","308,130","303,044","297,383","289,189","279,220","266,994","254,168","244,110","233,180","230,367","223,842","206,657"
  Total HDB Dwellings,"216,576","227,285","234,631","242,985","248,778","253,729","255,201","256,890","256,259","255,239","253,979","249,941","245,139","238,500","229,673","219,772","209,558","202,095","193,637","190,082","184,889","171,020"
    HDB 1- And 2-Room Flats,"11,974","12,518","12,871","12,968","12,993","13,097","12,896","12,585","12,176","11,526","10,941","10,150","9,646","9,348","8,884","8,407","7,973","7,809","7,515","7,782","7,924","7,969"
    HDB 3-Room Flats,"41,880","44,482","46,407","48,531","50,108","51,622","52,255","53,116","53,225","53,671","54,483","54,106","53,502","52,792","51,752","50,559","49,504","49,658","49,720","51,314","53,262","52,523"
    HDB 4-Room Flats,"86,606","91,226","94,498","98,342","101,111","103,107","103,721","104,422","103,995","103,494","103,143","101,970","100,477","98,129","94,850","90,692","86,207","82,293","78,090","75,304","71,274","64,362"
    HDB 5-Room And Executive Flats,"76,116","79,059","80,855","83,144","84,566","85,688","86,096","86,470","86,208","85,709","84,560","82,686","80,480","77,201","73,092","69,038","64,839","61,251","57,114","54,122","50,460","44,115"
  Condominiums & Other Apartments,"50,636","49,225","47,021","45,106","42,581","39,624","37,050","35,013","32,837","31,231","29,979","28,639","27,296","26,088","25,300","23,631","21,418","19,409","17,367","17,088","15,460","13,333"
  Landed Properties,"16,885","17,624","17,997","18,653","19,132","19,754","20,210","20,888","21,145","21,251","21,586","21,911","22,358","22,098","21,845","21,323","20,941","20,467","20,066","20,896","21,029","19,781"
  Other Types Of Dwelling,"1,865","1,934","2,033","2,221","2,323","2,491","2,630","2,712","2,747","2,655","2,586","2,553","2,590","2,503","2,402","2,268","2,251","2,139","2,110","2,301","2,464","2,523"
55-59 Years,"298,226","305,830","306,759","304,390","301,678","299,591","295,063","288,392","281,069","271,817","260,678","248,696","239,947","229,356","220,983","214,601","197,803","174,788","157,894","143,175","125,449","125,061"
  Total HDB Dwellings,"238,715","245,288","247,491","246,817","246,038","245,893","243,163","238,087","232,703","225,488","216,258","206,206","198,918","190,143","182,376","176,833","163,160","144,495","131,123","118,421","104,153","104,748"
    HDB 1- And 2-Room Flats,"15,077","15,257","15,275","15,200","14,965","14,734","14,367","13,183","12,233","11,230","10,389","9,518","9,197","8,774","8,616","8,476","7,890","7,047","6,548","6,358","5,860","6,378"
    HDB 3-Room Flats,"48,178","49,802","50,296","50,323","50,563","51,321","51,412","50,994","50,882","50,649","49,841","48,529","47,883","46,796","46,201","46,500","44,517","41,373","39,383","36,750","33,861","35,988"
    HDB 4-Room Flats,"96,514","99,327","100,231","99,937","99,553","99,454","98,349","96,988","95,096","92,384","88,288","84,079","80,518","76,668","72,804","70,030","64,067","56,077","50,164","44,792","38,419","37,587"
    HDB 5-Room And Executive Flats,"78,946","80,902","81,689","81,357","80,957","80,158","78,799","76,605","73,820","70,470","67,000","63,245","60,437","57,023","53,661","50,734","45,637","39,057","34,079","29,517","24,957","23,738"
  Condominiums & Other Apartments,"38,997","38,676","37,022","35,127","32,900","30,517","28,583","26,805","25,123","23,473","22,215","20,489","19,199","17,846","17,511","16,692","14,708","12,572","10,571","9,379","7,533","6,746"
  Landed Properties,"18,246","19,388","19,719","19,936","20,222","20,642","20,815","20,967","20,669","20,350","19,760","19,608","19,487","19,062","18,968","18,955","17,863","15,882","14,449","13,587","11,997","11,595"
  Other Types Of Dwelling,"2,268","2,478","2,527","2,510","2,518","2,539","2,502","2,533","2,574","2,506","2,445","2,393","2,343","2,305","2,128","2,121","2,072","1,839","1,751","1,788","1,766","1,972"
60-64 Years,"282,612","284,626","278,828","271,688","262,651","251,853","240,493","231,502","222,154","213,996","208,160","191,995","169,696","153,161","135,501","118,242","117,575","122,736","121,724","123,438","118,506","110,503"
  Total HDB Dwellings,"231,862","233,428","229,076","223,221","216,223","208,022","198,879","191,479","183,838","177,048","171,949","158,647","140,100","126,698","111,864","97,796","97,994","103,203","102,980","104,076","99,874","93,037"
    HDB 1- And 2-Room Flats,"17,641","17,485","16,892","16,467","15,605","14,682","13,579","12,274","11,258","10,566","10,132","9,167","8,197","7,654","6,974","6,319","6,356","7,055","7,130","7,806","7,226","7,009"
    HDB 3-Room Flats,"47,317","48,240","47,658","47,399","46,618","45,833","44,863","44,528","44,102","44,142","44,639","42,593","38,688","35,815","32,454","28,904","29,945","32,786","34,196","35,355","35,449","34,090"
